price,location,bedrooms,bathrooms,area,road_access,facing,floor,parking,furnish_status
28000000.0,"lubhu, lalitpur",5.0,4.0,2400.0,13.0,north-west,3.0,5,semi-furnished
27000000.0,"lubhu, lalitpur",6.0,4.0,1700.0,13.0,east,3.0,3,semi-furnished
32500000.0,"lasuntar, kathmandu",6.0,4.0,1000.0,13.0,west,3.0,3,semi-furnished
47500000.0,"imadol, lalitpur",6.0,4.0,1700.0,16.0,north-west,3.0,3,full-furnished
29500000.0,"imadol, lalitpur",5.0,4.0,1700.0,13.0,north-east,3.5,3,semi-furnished
36000000.0,"imadol, lalitpur",6.0,4.0,1700.0,13.0,south,3.0,3,full-furnished
35000000.0,"setipakha, lalitpur",5.0,3.0,1700.0,13.0,west,3.0,3,full-furnished
46500000.0,"shital height, lalitpur",5.0,3.0,1700.0,13.0,south,3.0,3,full-furnished
18000000.0,"setipakha, lalitpur",4.0,2.0,1700.0,13.0,north,2.5,3,semi-furnished
28000000.0,"megha city, kathmandu",6.0,4.0,1000.0,13.0,west,3.0,3,semi-furnished
35000000.0,"bhangal , kathmandu",6.0,3.0,1000.0,26.0,north-east,3.0,3,un-furnished
42500000.0,"bhangal , kathmandu",6.0,3.0,1000.0,26.0,north-east,3.0,3,un-furnished
38500000.0,"bhangal , kathmandu",6.0,2.0,1000.0,13.0,south,3.0,3,full-furnished
95000000.0,"imadol, lalitpur",8.0,6.0,4500.0,16.0,north-west,3.5,8,full-furnished
30000000.0,"dhapakhel, lalitpur",10.0,3.0,2456.0,13.0,north-east,2.5,3,semi-furnished
37500000.0,"tikathali, lalitpur",8.0,6.0,1700.0,13.0,north-west,3.5,3,semi-furnished
39500000.0,"tikathali, lalitpur",4.0,5.0,3100.0,13.0,north-west,3.0,5,full-furnished
26500000.0,"lubhu, lalitpur",5.0,3.0,1700.0,13.0,south,3.0,3,semi-furnished
32500000.0,"tikathali, lalitpur",6.0,4.0,1700.0,13.0,south,3.0,3,semi-furnished
35000000.0,"banasthali, kathmandu",6.0,4.0,1700.0,13.0,south,3.0,1,semi-furnished
26500000.0,"tikathali, lalitpur",6.0,4.0,1700.0,13.0,south,3.0,3,semi-furnished
34000000.0,"lasuntar, kathmandu",6.0,4.0,1000.0,13.0,west,3.0,3,semi-furnished
35000000.0,"ochu height, lalitpur",6.0,6.0,1700.0,13.0,north-east,3.5,4,full-furnished
27000000.0,"tikathali, lalitpur",5.0,4.0,1700.0,13.0,east,3.5,4,semi-furnished
25000000.0,"bhaisepati, lalitpur",4.0,3.0,1700.0,13.0,south,2.0,3,semi-furnished
34400000.0,"tikathali, lalitpur",6.0,4.0,1700.0,13.0,south,3.0,3,full-furnished
45000000.0,"lubhu, lalitpur",5.0,3.0,1700.0,13.0,south-west,2.5,3,semi-furnished
33500000.0,"ochu height, lalitpur",6.0,4.0,1700.0,20.0,east,3.0,3,full-furnished
32000000.0,"chunikhel, kathmandu",5.0,3.0,1700.0,11.0,north-west,3.0,3,semi-furnished
45000000.0,"chunikhel, kathmandu",5.0,3.0,1700.0,13.0,north-west,3.0,3,semi-furnished
27500000.0,"imadol, lalitpur",5.0,3.0,1700.0,13.0,north,3.5,4,full-furnished
27500000.0,"lubhu, lalitpur",6.0,5.0,1700.0,13.0,south-west,2.5,4,semi-furnished
22500000.0,"tikathali, lalitpur",5.0,2.0,1700.0,13.0,south,2.5,3,semi-furnished
13000000.0,"imadol, lalitpur",3.0,2.0,1700.0,13.0,east,3.0,3,un-furnished
25000000.0,"dhapakhel, lalitpur",5.0,4.0,2300.0,20.0,west,2.5,4,semi-furnished
73500000.0,"new baneshwor, kathmandu",6.0,6.0,4000.0,14.0,south-west,3.5,8,full-furnished
22000000.0,"imadol, lalitpur",5.0,4.0,1700.0,13.0,north-east,3.5,4,semi-furnished
27500000.0,"harisiddhi, lalitpur",5.0,4.0,1700.0,20.0,west,3.5,5,semi-furnished
29000000.0,"tikathali, lalitpur",6.0,4.0,1700.0,13.0,south,3.0,3,full-furnished
34500000.0,"tikathali, lalitpur",2.0,3.0,1700.0,10.0,south,2.5,8,semi-furnished
33000000.0,"imadol, lalitpur",6.0,5.0,13.0,13.0,south,3.5,7,semi-furnished
29000000.0,"imadol, lalitpur",7.0,4.0,1700.0,13.0,north-east,3.5,5,full-furnished
25500000.0,"bishundole, lalitpur",6.0,2.0,1700.0,11.0,north,3.5,3,semi-furnished
46500000.0,"dholahiti, lalitpur",6.0,5.0,1700.0,13.0,west,3.5,4,semi-furnished
69500000.0,"imadol, lalitpur",5.0,5.0,1700.0,13.0,north-east,3.0,8,full-furnished
22000000.0,"lubhu, lalitpur",6.0,4.0,1700.0,13.0,west,3.5,4,un-furnished
32500000.0,"tikathali, lalitpur",5.0,4.0,1700.0,14.0,south-west,3.5,4,semi-furnished
27500000.0,"tikathali, lalitpur",6.0,5.0,1700.0,13.0,north,3.5,5,semi-furnished
19500000.0,"dhapakhel, lalitpur",5.0,3.0,1700.0,20.0,east,2.5,6,semi-furnished
19500000.0,"dhapakhel, lalitpur",5.0,3.0,1700.0,20.0,east,2.5,5,semi-furnished
16500000.0,"dhapakhel, lalitpur",6.0,2.0,1700.0,4.0,east,2.5,4,semi-furnished
32500000.0,"dhapakhel, lalitpur",5.0,5.0,1700.0,16.0,east,2.5,8,full-furnished
41000000.0,"setipakha, lalitpur",5.0,3.0,1700.0,22.0,north,4.0,5,full-furnished
38000000.0,"lubhu, lalitpur",7.0,5.0,1700.0,13.0,east,3.0,4,semi-furnished
17000000.0,"siddhipur, lalitpur",3.0,2.0,1700.0,11.0,north-east,1.5,3,semi-furnished
45000000.0,"shital height, lalitpur",4.0,3.0,1700.0,13.0,south,3.0,5,full-furnished
37500000.0,"rajkulo, lalitpur",5.0,6.0,3075.0,13.0,west,3.5,6,semi-furnished
16200000.000000002,"lubhu, lalitpur",2.0,1.0,800.0,13.0,north,1.5,4,semi-furnished
43500000.0,"tikathali, lalitpur",6.0,5.0,1700.0,13.0,south,3.5,4,full-furnished
33000000.0,"tikathali, lalitpur",6.0,5.0,1700.0,13.0,north,3.5,7,full-furnished
37500000.0,"shital height, lalitpur",5.0,4.0,2900.0,13.0,west,3.0,5,full-furnished
49900000.0,"jharuwarasi, lalitpur",5.0,5.0,2900.0,20.0,south,2.5,6,semi-furnished
31500000.0,"tikathali, lalitpur",6.0,4.0,3600.0,13.0,south,3.5,5,full-furnished
48000000.0,"bhaisepati, lalitpur",7.0,5.0,1700.0,13.0,west,3.5,5,full-furnished
47500000.0,"bhaisepati, lalitpur",4.0,5.0,1700.0,14.0,east,2.5,5,full-furnished
30000000.0,"ochu height, lalitpur",5.0,5.0,2400.0,13.0,south,3.0,6,full-furnished
59000000.0,"dholahiti, lalitpur",5.0,5.0,3600.0,20.0,north-west,3.0,6,full-furnished
58500000.0,"dholahiti, lalitpur",7.0,3.0,1700.0,12.0,south,3.5,7,full-furnished
26000000.0,"bhaisepati, lalitpur",5.0,3.0,1700.0,13.0,south,2.5,3,semi-furnished
31000000.0,"megha city, kathmandu",6.0,4.0,1000.0,13.0,south-east,3.0,3,un-furnished
27500000.0,"bhandari marg, lalitpur",6.0,4.0,1700.0,13.0,south,3.0,3,semi-furnished
25000000.0,"ochu height, lalitpur",5.0,3.0,1700.0,13.0,south,2.5,3,semi-furnished
37000000.0,"sai baba chowk, kathmandu",6.0,2.0,1000.0,13.0,east,3.0,3,un-furnished
39900000.0,"chunikhel, kathmandu",6.0,4.0,1700.0,13.0,north-east,3.0,3,semi-furnished
39000000.0,"megha city, kathmandu",6.0,4.0,1000.0,13.0,south-east,3.0,3,semi-furnished
28000000.0,"bhandari marg, lalitpur",5.0,3.0,1700.0,13.0,north-east,3.0,3,semi-furnished
36500000.0,"ochu height, lalitpur",6.0,4.0,1700.0,20.0,west,3.0,3,semi-furnished
35000000.0,"sanagaun, lalitpur",11.0,4.0,1700.0,16.0,south-east,2.5,5,semi-furnished
32500000.0,"shital height, lalitpur",6.0,4.0,1700.0,13.0,north,3.0,3,full-furnished
33000000.0,"baniyatar, kathmandu",6.0,4.0,1200.0,14.0,north-east,3.0,3,un-furnished
39000000.0,"shital height, lalitpur",4.0,5.0,2800.0,20.0,south,3.0,4,full-furnished
58000000.0,"bhaisepati, lalitpur",5.0,5.0,1700.0,20.0,south,3.5,6,full-furnished
45000000.0,"grande hospital, kathmandu",6.0,4.0,1000.0,20.0,south,3.0,6,un-furnished
37500000.0,"imadol, lalitpur",5.0,5.0,1700.0,13.0,west,3.0,3,full-furnished
35000000.0,"galkopakha, kathmandu",7.0,3.0,800.0,12.0,south,3.0,3,un-furnished
38000000.0,"ganesh chowk, kathmandu",5.0,3.0,1700.0,13.0,north-west,2.5,4,semi-furnished
30500000.0,"bojepokhari, lalitpur",8.0,5.0,1700.0,15.0,east,3.5,3,semi-furnished
57000000.0,"teku, kathmandu",7.0,5.0,3200.0,10.0,north,3.0,7,un-furnished
32500000.0,"shital height, lalitpur",5.0,3.0,1700.0,20.0,west,3.0,3,semi-furnished
28500000.0,"tikathali, lalitpur",5.0,4.0,1700.0,13.0,west,3.0,3,semi-furnished
45000000.0,"bhangal , kathmandu",6.0,4.0,1700.0,20.0,south-west,3.0,3,semi-furnished
29000000.0,"kirtipur, kathmandu",3.0,3.0,1700.0,15.0,south,3.0,3,semi-furnished
36500000.0,"tikathali, lalitpur",6.0,5.0,3765.0,13.0,south,3.5,4,full-furnished
37500000.0,"ochu height, lalitpur",6.0,4.0,1700.0,20.0,south,3.0,3,semi-furnished
31000000.0,"bhaisepati, lalitpur",4.0,3.0,1700.0,13.0,south-west,2.5,3,semi-furnished
55000000.0,"manamaiju, kathmandu",6.0,3.0,1000.0,13.0,east,3.0,3,un-furnished
33000000.0,"bhaisepati, lalitpur",5.0,3.0,1700.0,20.0,north-east,2.5,3,semi-furnished
38000000.0,"lasuntar, kathmandu",6.0,3.0,1000.0,13.0,north-east,3.0,3,semi-furnished
33000000.0,"sai baba chowk, kathmandu",6.0,2.0,1000.0,13.0,south-east,3.0,3,un-furnished
47500000.0,"ochu height, lalitpur",6.0,4.0,1700.0,20.0,north-east,3.0,3,full-furnished
22000000.0,"lamatar, lalitpur",4.0,4.0,2300.0,20.0,south,2.5,4,semi-furnished
36400000.0,"tikathali, lalitpur",6.0,5.0,3765.0,13.0,south,3.5,3,full-furnished
46000000.0,"ochu height, lalitpur",5.0,3.0,1700.0,20.0,west,3.0,3,semi-furnished
26500000.0,"bhandari marg, lalitpur",7.0,4.0,1700.0,20.0,east,3.0,3,full-furnished
49500000.0,"sundarbasti, kathmandu",6.0,4.0,1700.0,13.0,north-east,3.0,3,semi-furnished
