price,location,property_type,bedrooms,bathrooms,area,road_access,facing,floor,parking,furnish_status
Rs. 3 Cr,"Bhangal , Kathmandu",,6,2,1000 Sq. Ft.,14 Feet,South,3,1 Car  & 2 Bikes,Un-Furnished
Rs. 3.4 Cr,"Rajkulo, Lalitpur",,4,5,2800 Sq. Ft.,18 Feet,West,3,2 Cars  & 4 Bikes,Semi-Furnished
Rs. 2.6 Cr,"Lubhu, Lalitpur",,4,4,,13 Feet,North-East,3,1 Car  & 4 Bikes,Semi-Furnished
Rs. 3.75 Cr,"Bhangal , Kathmandu",,6,2,1000 Sq. Ft.,14 Feet,North,3,1 Car  & 2 Bikes,Un-Furnished
Rs. 2.95 Cr,"Shital Height, Lalitpur",,6,4,,13 Feet,West,3,1 Car  & 2 Bikes,Full-Furnished
"Rs. 65,000 /m","Ramkot, Kathmandu",,7,3,,,,2.5,1 Car  & 4 Bikes,Un-Furnished
Rs. 5 Cr,"Ganesh Chowk, Kathmandu",,6,2,1000 Sq. Ft.,14 Feet,North-West,3,1 Car  & 2 Bikes,Semi-Furnished
Rs. 7.5 Cr,"Ganesh Chowk, Kathmandu",,5,2,1200 Sq. Ft.,14 Feet,West,3,2 Cars  & 6 Bikes,Un-Furnished
Rs. 1.5 Lac/m,"Bhaisepati, Lalitpur",,3,2,,20 Feet,South,2.5,1 Car  & 2 Bikes,Semi-Furnished
Rs. 5 Cr,"Samakhusi, Kathmandu",,8,,1000 Sq. Ft.,13 Feet,North-East,4,1 Car  & 2 Bikes,Un-Furnished
"Rs. 75,000 /m","Dhapakhel, Lalitpur",,4,2,,20 Feet,South,3,1 Car  & 2 Bikes,Full-Furnished
Rs. 2.5 Cr,"Pokhara, Kaski",,,,,,,,,
Rs. 3 Cr,"Rajkulo, Lalitpur",,4,3,,26 Feet,South-West,3,1 Car  & 1 Bike,Semi-Furnished
Rs. 2.8 Cr,"Lubhu, Lalitpur",,4,4,2480 Sq. Ft.,13 Feet,West,3,1 Car  & 2 Bikes,Semi-Furnished
Rs. 3.1 Cr,"Jyotinagar, Kathmandu",,6,3,1000 Sq. Ft.,13 Feet,East,3,1 Car  & 2 Bikes,Un-Furnished
Rs. 3.1 Cr,"Dhapasi, Kathmandu",,6,3,1000 Sq. Ft.,13 Feet,West,3,1 Car  & 1 Bike,Un-Furnished
Rs. 3.25 Cr,"Chunikhel, Kathmandu",,6,4,,13 Feet,South-West,3,1 Car  & 2 Bikes,Semi-Furnished
Rs. 7.25 Cr,"Khumaltar, Lalitpur",,5,4,,13 Feet,North-East,2.5,3 Cars  & 5 Bikes,Semi-Furnished
Rs. 4.9 Cr,"Ochu Height, Lalitpur",,6,4,,20 Feet,North,3,1 Car  & 2 Bikes,Full-Furnished
Rs. 3.4 Cr,"Ochu Height, Lalitpur",,5,3,,20 Feet,West,3,1 Car  & 2 Bikes,Full-Furnished
Rs. 3.65 Cr,"Ochu Height, Lalitpur",,6,5,,20 Feet,South,3.5,1 Car  & 3 Bikes,Full-Furnished
Price on call,"Sai Baba Chowk, Kathmandu",,6,3,1000 Sq. Ft.,13 Feet,South-East,3,1 Car  & 2 Bikes,Un-Furnished
