price,location,property_type,bedrooms,bathrooms,area,road_access,facing,floor,parking,furnish_status
Rs. 4.45 Cr,"Budhanilkantha, Kathmandu",,6,5,,13 Feet,South,2.5,2 Cars  & 5 Bikes,Full-Furnished
Rs. 4.5 Cr,"Budhanilkantha, Kathmandu",,4,4,,20 Feet,South-East,2.5,1 Car  & 5 Bikes,Full-Furnished
Rs. 3.35 Cr,"Chunikhel, Kathmandu",,6,4,,13 Feet,South,2.5,1 Car  & 4 Bikes,Full-Furnished
Rs. 3.25 Cr,"Budhanilkantha, Kathmandu",,6,5,,13 Feet,North,2.5,1 Car  & 4 Bikes,Full-Furnished
Rs. 4.5 Cr,"Sukedhara, Kathmandu",,6,5,,14 Feet,North,2.5,1 Car  & 5 Bikes,Full-Furnished
Rs. 3.25 Cr,"Sai Baba Chowk, Kathmandu",,6,4,1500 Sq. Ft.,16 Feet,South-West,2.5,2 Cars  & 5 Bikes,Un-Furnished
Rs. 2.55 Cr,"Kadaghari, Kathmandu",,5,3,,20 Feet,West,2.5,1 Car  & 4 Bikes,Full-Furnished
Rs. 3.8 Cr,"Satdobato, Lalitpur",,4,3,,13 Feet,South,3,2 Cars  & 2 Bikes,Semi-Furnished
Rs. 3.8 Cr,"Sitapaila, Kathmandu",,6,3,,16 Feet,South,2.5,2 Cars  & 3 Bikes,Semi-Furnished
Rs. 9 Cr,"Balkot, Bhaktapur",,6,4,,13 Feet,North,2.5,2 Cars  & 5 Bikes,Full-Furnished
Rs. 1.2 Lac/m,"Baluwatar, Kathmandu",,8,5,,20 Feet,North,2.5,3 Cars  & 4 Bikes,Full-Furnished
Rs. 2.5 Cr,"Imadol, Lalitpur",,6,4,,13 Feet,East,3,,Full-Furnished
Rs. 4.2 Cr,"Chunikhel, Kathmandu",,6,4,,13 Feet,North,3,2 Cars  & 3 Bikes,Full-Furnished
Rs. 4.5 Cr,"Imadol, Lalitpur",,7,5,,13 Feet,North,3,2 Cars  & 3 Bikes,Full-Furnished
Price on call,"Sanepa, Lalitpur",,,4,1650 Sq. Ft.,20 Feet,South,3,2 Cars  & 5 Bikes,Un-Furnished
Rs. 1.5 Lac,"Sanepa, Lalitpur",,8,4,,18 Feet,South-East,2.5,2 Cars  & 5 Bikes,Un-Furnished
Rs. 4.5 Cr,"Imadol, Lalitpur",,5,3,,20 Feet,South-West,3,4 Bikes,Full-Furnished
Rs. 2.2 Lac/m,"Sanepa, Lalitpur",,8,4,,16 Feet,South,3,2 Cars  & 9 Bikes,Full-Furnished
Rs. 2.9 Cr,"Tikathali, Lalitpur",,5,3,,13 Feet,East,3,1 Car  & 4 Bikes,Full-Furnished
Price on call,"Imadol, Lalitpur",,6,3,,13 Feet,North,2.5,1 Car  & 5 Bikes,Full-Furnished
Rs. 2.9 Cr,"Tikathali, Lalitpur",,6,3,,13 Feet,North,2.5,1 Car  & 4 Bikes,Full-Furnished
Rs. 2.99 Cr,"Imadol, Lalitpur",,5,3,,13 Feet,North,2.5,1 Car  & 3 Bikes,Full-Furnished
Rs. 9.5 Cr,"Pepsicola, Kathmandu",,1,4,,26 Feet,South-East,3,4 Bikes,Un-Furnished
Rs. 1.2 Lac/m,"Bhaisepati, Lalitpur",,5,4,,13 Feet,South,2,2 Cars  & 4 Bikes,Full-Furnished
Rs. 6 Cr,"Dillibazar, Kathmandu",,4,3,,20 Feet,West,4,3 Bikes,Full-Furnished
Rs. 4.5 Cr,"Bhaisepati, Lalitpur",,4,2,,13 Feet,North,1.5,1 Car  & 4 Bikes,Full-Furnished
Rs. 3.7 Cr,"Bhaisepati, Lalitpur",,7,3,,13 Feet,South,2.5,2 Cars  & 5 Bikes,Full-Furnished
Rs. 1.25 Lac/m,"New Baneshwor, Kathmandu",,4,2,,16 Feet,,3,1 Car  & 5 Bikes,Full-Furnished
"Rs. 95,000 /m","Golfutar, Kathmandu",,4,3,,16 Feet,South,3,1 Car  & 4 Bikes,Full-Furnished
Rs. 4 Cr,"Sundarbasti, Kathmandu",,7,5,1540.12 Sq. Ft.,13 Feet,North-East,3.5,1 Car  & 2 Bikes,Semi-Furnished
Rs. 2.75 Cr,"Sundarbasti, Kathmandu",,5,5,941.18 Sq. Ft.,12 Feet,North,2.5,1 Car  & 2 Bikes,Semi-Furnished
Rs. 3.35 Cr,"Baluwakhani, Kathmandu",,5,4,1026.75 Sq. Ft.,16 Feet,East,3.5,1 Car  & 2 Bikes,Semi-Furnished
Price on call,"Sanepa, Lalitpur",,8,8,,,,2.5,1 Car  & 5 Bikes,Semi-Furnished
Rs. 2.3 Cr,"Special chowk, Kathmandu",,5,5,1026.75 Sq. Ft.,13 Feet,South-East,2.5,1 Car  & 2 Bikes,Semi-Furnished
Rs. 5.5 Cr,"Shital Height, Lalitpur",,5,6,2053.50 Sq. Ft.,20 Feet,South-West,2.5,2 Cars  & 3 Bikes,Full-Furnished
Rs. 2.45 Cr,"Kapan, Kathmandu",,7,5,1026.75 Sq. Ft.,13 Feet,South-East,3.5,1 Car  & 4 Bikes,Semi-Furnished
Rs. 4.25 Cr,"Sundarbasti, Kathmandu",,6,5,1369 Sq. Ft.,15 Feet,South-West,3.5,1 Car  & 3 Bikes,Semi-Furnished
Rs. 4.5 Cr,"Deuwa chowk, Kathmandu",,4,5,,15 Feet,North-East,3.5,2 Cars  & 4 Bikes,Semi-Furnished
Rs. 3.25 Cr,"Jarankhu, Kathmandu",,7,6,1540.12 Sq. Ft.,8 Feet,South,3.5,1 Car  & 8 Bikes,Semi-Furnished
Rs. 5.75 Cr,"Dhumbarahi, Kathmandu",,7,5,1800 Sq. Ft.,16 Feet,East,3,2 Cars  & 5 Bikes,Un-Furnished
Rs. 3.7 Cr/y,"Shital Height, Lalitpur",,5,5,1347.868 Sq. Ft.,13 Feet,East,3.5,1 Car  & 4 Bikes,Full-Furnished
Rs. 3.85 Cr,"Khumaltar, Lalitpur",,5,3,,13 Feet,South,2.5,1 Car  & 5 Bikes,Full-Furnished
Rs. 4.25 Cr,"Mandikhatar, Kathmandu",,6,5,1369.181 Sq. Ft.,12 Feet,South-West,3.5,1 Car  & 4 Bikes,Semi-Furnished
Rs. 1.75 Cr,"Sitapaila, Kathmandu",,3,4,1500 Sq. Ft.,13 Feet,South-West,2.5,1 Car  & 2 Bikes,Semi-Furnished
Rs. 4.45 Cr,"Sundarbasti, Kathmandu",,6,5,1711.476 Sq. Ft.,13 Feet,West,3.5,2 Cars  & 4 Bikes,Full-Furnished
Rs. 3.8 Cr,"Sitapaila, Kathmandu",,8,2,3600 Sq. Ft.,16 Feet,South-West,3.5,2 Cars  & 4 Bikes,Semi-Furnished
Rs. 5.75 Cr,"Sitapaila, Kathmandu",,9,4,3100 Sq. Ft.,20 Feet,North-West,2.5,2 Cars  & 3 Bikes,Semi-Furnished
Rs. 3.9 Cr,"Sundarbasti, Kathmandu",,4,4,1540.328 Sq. Ft.,12 Feet,South-East,2.5,2 Cars  & 5 Bikes,Full-Furnished
Rs. 2.8 Cr,"Sitapaila, Kathmandu",,4,3,1800 Sq. Ft.,12 Feet,South-West,2.5,1 Car  & 2 Bikes,Semi-Furnished
Rs. 3.8 Cr/y,"Khumaltar, Lalitpur",,5,5,1369.181 Sq. Ft.,13 Feet,North,2.5,2 Cars  & 4 Bikes,Semi-Furnished
Rs. 2 Cr,"Sitapaila, Kathmandu",,3,3,2200 Sq. Ft.,13 Feet,South-West,2.5,1 Car  & 2 Bikes,Semi-Furnished
Rs. 2.75 Cr,"Sitapaila, Kathmandu",,5,2,2450 Sq. Ft.,13 Feet,South-West,2.5,1 Car  & 3 Bikes,Semi-Furnished
Rs. 4.75 Cr,"Nakhipot, Lalitpur",,6,5,1882.37 Sq. Ft.,13 Feet,West,2.5,2 Cars  & 2 Bikes,Semi-Furnished
Rs. 3.6 Cr,"Lasuntar, Kathmandu",,6,5,1369 Sq. Ft.,13 Feet,West,2.5,1 Car  & 2 Bikes,Semi-Furnished
Rs. 4 Lac/m,"Baluwatar, Kathmandu",,,11,,20 Feet,South-East,4.5,8 Cars  & 14 Bikes,Un-Furnished
Rs. 3.75 Cr,"Imadol, Lalitpur",,6,4,,13 Feet,East,3,1 Car  & 4 Bikes,Full-Furnished
"Rs. 55,000 /m","Kirtipur, Kathmandu",,3,3,,15 Feet,East,2.5,1 Car  & 3 Bikes,Semi-Furnished
Price on call,"Shital Height, Lalitpur",,6,4,,13 Feet,South,2.5,1 Car  & 3 Bikes,Full-Furnished
Rs. 1.45 Cr,"Lamatar, Lalitpur",,3,3,1400 Sq. Ft.,22 Feet,South,2.5,1 Car  & 2 Bikes,Semi-Furnished
Rs. 2.85 Cr,"Bhangal , Kathmandu",,5,3,103.32 Sq. Mtr.,13 Feet,South-East,3.5,1 Car  & 3 Bikes,Semi-Furnished
Rs. 4.5 Cr,"Tikathali, Lalitpur",,5,4,,20 Feet,West,1.5,2 Cars  & 5 Bikes,Full-Furnished
Rs. 3.5 Cr,"Tikathali, Lalitpur",,6,4,,20 Feet,East,2.5,2 Cars  & 4 Bikes,Full-Furnished
Rs. 3.75 Cr,"Tikathali, Lalitpur",,6,4,,13 Feet,West,2,2 Cars  & 4 Bikes,Full-Furnished
Rs. 2.65 Cr,"Ochu Height, Lalitpur",,6,5,2200 Sq. Ft.,13 Feet,North-East,3,1 Car  & 5 Bikes,Semi-Furnished
Rs. 3.95 Cr,"Ochu Height, Lalitpur",,6,5,2800 Sq. Ft.,13 Feet,North-West,3,3 Cars  & 5 Bikes,Full-Furnished
Rs. 2.25 Cr,"Bhandari Marg, Lalitpur",,5,4,2200 Sq. Ft.,13 Feet,North,3,1 Car  & 4 Bikes,Full-Furnished
Rs. 3.65 Cr,"Lasuntar, Kathmandu",,6,5,2890 Sq. Ft.,13 Feet,West,3,1 Car  & 5 Bikes,Semi-Furnished
Rs. 2.8 Cr,"Pasikot, Kathmandu",,3,4,,16 Feet,West,2.5,1 Car  & 5 Bikes,Semi-Furnished
Rs. 2.75 Cr,"Setipakha, Lalitpur",,5,3,,13 Feet,West,2.5,1 Car  & 3 Bikes,Full-Furnished
Rs. 7.25 Cr,"Imadol, Lalitpur",,1,4,,26 Feet,East,3,4 Bikes,Un-Furnished
Rs. 1.85 Cr,"Thali, Kathmandu",,2,1,2200 Sq. Ft.,13 Feet,South,1.5,1 Car  & 5 Bikes,Semi-Furnished
Rs. 2.85 Cr,"Tikathali, Lalitpur",,5,3,,13 Feet,East,3,1 Car  & 3 Bikes,Full-Furnished
Price on call,"Budhanilkantha, Kathmandu",,5,3,,13 Feet,South,2.5,3 Cars  & 4 Bikes,Full-Furnished
Rs. 2.45 Cr,"Imadol, Lalitpur",,7,4,2417 Sq. Ft.,12 Feet,North-West,2.5,1 Car  & 3 Bikes,Semi-Furnished
Rs. 3.78 Cr,"Ramkot, Kathmandu",,3,3,,20 Feet,South-West,2.5,2 Cars  & 3 Bikes,Semi-Furnished
Rs. 3.3 Cr,"Rajkulo, Lalitpur",,4,4,2736 Sq. Ft.,13 Feet,South,2.5,1 Car  & 2 Bikes,Full-Furnished
Rs. 1.99 Lac/m,"Ganesh Chowk, Kathmandu",,6,3,1500 Sq. Ft.,16 Feet,South,2.5,2 Cars  & 4 Bikes,Full-Furnished
Rs. 2.35 Cr,"Tikathali, Lalitpur",,4,3,,13 Feet,North,3,1 Car  & 2 Bikes,Semi-Furnished
Rs. 2.45 Cr,"Tikathali, Lalitpur",,6,3,,20 Feet,North,2.5,1 Car  & 5 Bikes,Un-Furnished
Rs. 2.55 Cr,"Tikathali, Lalitpur",,6,3,,13 Feet,South,2.5,1 Car  & 4 Bikes,Un-Furnished
Rs. 2.95 Cr,"Imadol, Lalitpur",,7,3,,13 Feet,East,2.5,1 Car  & 5 Bikes,Semi-Furnished
Rs. 4.25 Cr,"Imadol, Lalitpur",,6,4,,14 Feet,West,3,1 Car  & 5 Bikes,Semi-Furnished
Rs. 4 Lac/m,"Bishalnagar, Kathmandu",,12,4,,20 Feet,North,2.5,7 Cars  & 7 Bikes,Full-Furnished
Rs. 4.15 Cr,"Khumaltar, Lalitpur",,6,4,,20 Feet,East,3,3 Cars  & 4 Bikes,Full-Furnished
Rs. 4.15 Cr,"Tokha, Kathmandu",,4,3,1500 Sq. Ft.,16 Feet,East,2.5,3 Cars  & 5 Bikes,Un-Furnished
Rs. 6.45 Cr,"Basundhara, Kathmandu",,5,5,1500 Sq. Ft.,16 Feet,East,2.5,2 Cars  & 5 Bikes,Un-Furnished
Rs. 2.3 Cr,"Tikathali, Lalitpur",,6,3,,20 Feet,East,2.5,1 Car  & 3 Bikes,Semi-Furnished
Rs. 2.75 Cr,"Dhapasi, Kathmandu",,7,3,1200 Sq. Ft.,20 Feet,West,3,1 Car  & 3 Bikes,Un-Furnished
Rs. 2.9 Cr,"Imadol, Lalitpur",,5,3,,20 Feet,East,2.5,2 Cars  & 2 Bikes,Full-Furnished
Rs. 2.8 Cr,"Swoyambhu, Kathmandu",,5,2,1200 Sq. Ft.,13 Feet,South-East,3,1 Car  & 2 Bikes,Un-Furnished
Rs. 29 Cr,"Golfutar, Kathmandu",,,2,1800 Sq. Ft.,16 Feet,East,3.5,8 Cars  & 9 Bikes,Un-Furnished
Rs. 9.5 Cr,"Hepali Height, Kathmandu",,5,2,1500 Sq. Ft.,16 Feet,North-East,3,5 Cars  & 9 Bikes,Un-Furnished
Rs. 3.5 Cr,"Thecho, Lalitpur",,5,3,1800 Sq. Ft.,16 Feet,South-East,2.5,1 Car  & 2 Bikes,Un-Furnished
Rs. 4.75 Cr,"Nakhipot, Lalitpur",,6,4,,20 Feet,North-West,2.5,2 Cars  & 3 Bikes,Semi-Furnished
Rs. 5.35 Cr,"Manohara Park, Bhaktapur",,7,6,,14 Feet,North-East,4,2 Cars  & 4 Bikes,Full-Furnished
Rs. 5 Cr,"Sunakothi, Lalitpur",,7,4,,17 Feet,East,2.5,2 Cars  & 4 Bikes,Full-Furnished
Rs. 6 Cr,"Chapali, Kathmandu",,6,5,2053.771 Sq. Ft.,13 Feet,West,3.5,2 Cars  & 4 Bikes,Full-Furnished
Rs. 3.45 Cr,"Dholahiti, Lalitpur",,3,4,,13 Feet,North,3,1 Car  & 4 Bikes,Full-Furnished
Rs. 3.65 Cr,"Chunikhel, Kathmandu",,6,5,1369 Sq. Ft.,14 Feet,South-West,3.5,1 Car  & 2 Bikes,Semi-Furnished
Rs. 3.18 Cr,"Koteshwor, Kathmandu",,2,4,,16 Feet,West,3.5,1 Car  & 5 Bikes,Semi-Furnished
Price on call,"Kalanki, Kathmandu",,6,3,,20 Feet,West,2.5,1 Car  & 3 Bikes,Un-Furnished
Rs. 4.2 Cr,"Pasikot, Kathmandu",,6,5,,13 Feet,North,2.5,2 Cars  & 4 Bikes,Semi-Furnished
Rs. 5.21 Cr,"Budhanilkantha, Kathmandu",,4,3,,20 Feet,South-East,3,2 Cars  & 2 Bikes,Semi-Furnished
Rs. 4.3 Cr,"Kharibot, Kathmandu",,7,4,1500 Sq. Ft.,13 Feet,West,3.5,2 Cars  & 4 Bikes,Un-Furnished
Rs. 1.2 Lac/m,"Tahachal, Kathmandu",,4,2,,20 Feet,North,2.5,1 Car  & 5 Bikes,Semi-Furnished
Rs. 4.95 Cr,"Imadol, Lalitpur",,6,4,,13 Feet,North,2,1 Car  & 3 Bikes,Full-Furnished
Rs. 3.95 Cr,"Imadol, Lalitpur",,6,4,,13 Feet,North,2,1 Car  & 5 Bikes,Full-Furnished
Rs. 4.6 Cr,"Imadol, Lalitpur",,6,4,,13 Feet,North,2.5,1 Car  & 5 Bikes,Semi-Furnished
Rs. 3.6 Cr,"Hattigauda, Kathmandu",,4,4,,16 Feet,West,2.5,3 Cars  & 5 Bikes,Semi-Furnished
Rs. 2.85 Cr,"Gothatar, Kathmandu",,7,4,3700 Sq. Ft.,13 Feet,North-East,3.5,2 Cars  & 4 Bikes,Semi-Furnished
Rs. 2.45 Cr,"Imadol, Lalitpur",,4,4,2347 Sq. Ft.,13 Feet,East,2.5,1 Car  & 3 Bikes,Semi-Furnished
Rs. 1.5 Lac/m,"Old Baneshwor, Kathmandu",,5,3,,20 Feet,South,2.5,7 Cars,Semi-Furnished
Rs. 4.5 Cr,"Bhaisepati, Lalitpur",,5,4,2300 Sq. Ft.,13 Feet,East,2.5,2 Cars  & 2 Bikes,
"Rs. 60,000 /m","Imadol, Lalitpur",,4,2,,13 Feet,East,2,4 Bikes,Full-Furnished
Rs. 2.65 Cr,"Sitapaila, Kathmandu",,4,4,1326 Sq. Ft.,13 Feet,South-West,2.5,1 Car  & 2 Bikes,Semi-Furnished
Rs. 1.3 Cr,"Matatirtha, Kathmandu",,3,3,1200 Sq. Ft.,13 Feet,South-West,2.5,,
Rs. 1.4 Cr,"Matatirtha, Kathmandu",,2,2,1200 Sq. Ft.,13 Feet,North-East,1.5,1 Bike,
Rs. 2.75 Cr,"Gothatar, Kathmandu",,4,5,1048 Sq. Ft.,13 Feet,South,2.5,1 Car  & 3 Bikes,Semi-Furnished
Rs. 2.75 Cr,"Imadol, Lalitpur",,5,5,1048 Sq. Ft.,13 Feet,West,3.5,1 Car  & 4 Bikes,Semi-Furnished
Rs. 27 Cr,"Budhanilkantha, Kathmandu",,4,6,9925 Sq. Ft.,13 Feet,North-East,2.5,5 Cars  & 12 Bikes,Full-Furnished
Rs. 2.75 Cr,"Sitapaila, Kathmandu",,5,4,1197 Sq. Ft.,13 Feet,North-West,3.5,2 Cars  & 4 Bikes,Semi-Furnished
Rs. 1.85 Cr,"Matatirtha, Kathmandu",,4,4,1048 Sq. Ft.,13 Feet,North,2.5,1 Car  & 4 Bikes,Semi-Furnished
Rs. 3.35 Cr,"Golfutar, Kathmandu",,3,3,1800 Sq. Ft.,13 Feet,South,2.5,1 Car  & 2 Bikes,
Rs. 2.15 Cr,"Matatirtha, Kathmandu",,4,4,1800 Sq. Ft.,13 Feet,South-East,2.5,2 Bikes,
Rs. 1.9 Cr,"Matatirtha, Kathmandu",,4,4,1800 Sq. Ft.,13 Feet,South-East,2.5,2 Bikes,Semi-Furnished
Rs. 5.7 Cr,"Naya Naikap, Kathmandu",,8,4,1800 Sq. Ft.,26 Feet,South,3,1 Car  & 2 Bikes,Semi-Furnished
Rs. 8.51 Cr,"Bhaisepati, Lalitpur",,3,3,,22 Feet,East,2.5,,
Rs. 3.55 Cr,"Imadol, Lalitpur",,6,4,1000 Sq. Ft.,20 Feet,East,3,1 Car  & 3 Bikes,Semi-Furnished
Rs. 11.5 Cr,"Budhanilkantha, Kathmandu",,4,6,4449  Sq. Ft.,13 Feet,North-East,2.5,3 Cars  & 4 Bikes,Semi-Furnished
Rs. 3.25 Cr,"Bhangal , Kathmandu",,6,6,2600 Sq. Ft.,13 Feet,South-East,2.5,1 Car  & 3 Bikes,Semi-Furnished
Rs. 3.6 Cr,"Sitapaila, Kathmandu",,6,5,1625 Sq. Ft.,15 Feet,South,2.5,2 Cars  & 2 Bikes,Semi-Furnished
Rs. 3.5 Cr,"Imadol, Lalitpur",,4,5,1197 Sq. Ft.,15 Feet,South-West,3.5,1 Car  & 8 Bikes,Full-Furnished
Rs. 4.25 Cr,"Ganesh Chowk, Kathmandu",,5,4,1711 Sq. Ft.,20 Feet,West,2.5,2 Cars  & 4 Bikes,Semi-Furnished
Rs. 7.15 Cr,"Deuwa chowk, Kathmandu",,3,4,3935 Sq. Ft.,13 Feet,South-East,2,2 Cars  & 4 Bikes,
Rs. 4.4 Cr,"Imadol, Lalitpur",,6,5,1540 Sq. Ft.,20 Feet,South,3.5,1 Car  & 2 Bikes,
Rs. 6.5 Cr,"Imadol, Lalitpur",,6,5,,20 Feet,East,3.5,4 Cars  & 4 Bikes,Semi-Furnished
Rs. 2.9 Cr,"Shital Height, Lalitpur",,6,5,1026 Sq. Ft.,13 Feet,North-East,3.5,1 Car  & 3 Bikes,Semi-Furnished
Rs. 2.95 Cr,"Sitapaila, Kathmandu",,5,5,1454 Sq. Ft.,13 Feet,South-East,2.5,2 Cars  & 2 Bikes,Un-Furnished
Rs. 3.35 Cr,"Kalanki, Kathmandu",,7,5,2023 Sq. Ft.,13 Feet,South,3.5,1 Car  & 4 Bikes,Un-Furnished
Rs. 2.2 Cr,"Kalanki, Kathmandu",,7,5,855 Sq. Ft.,13 Feet,East,3.5,1 Car  & 4 Bikes,Un-Furnished
Rs. 3.5 Cr,"Bafal, Kathmandu",,7,5,1198 Sq. Ft.,15 Feet,South,3.5,1 Car  & 4 Bikes,Semi-Furnished
Rs. 2.9 Cr,"Sitapaila, Kathmandu",,7,5,1390 Sq. Ft.,14 Feet,East,3.5,1 Car  & 2 Bikes,Semi-Furnished
Rs. 3.95 Cr,"Ochu Height, Lalitpur",,6,2,1711.476 Sq. Ft.,13 Feet,West,3.5,2 Cars  & 4 Bikes,Un-Furnished
Rs. 2.75 Cr,"Ochu Height, Lalitpur",,6,5,1112 Sq. Ft.,13 Feet,South,3.5,1 Car  & 2 Bikes,Un-Furnished
Rs. 4.5 Cr,"Sundarbasti, Kathmandu",,6,6,1625 Sq. Ft.,13 Feet,North,2.5,,Full-Furnished
Rs. 2.2 Cr,"Harisiddhi, Lalitpur",,7,4,2642 Sq. Ft.,13 Feet,North,3,1 Car  & 3 Bikes,Semi-Furnished
Rs. 4.15 Cr,"Mandikhatar, Kathmandu",,6,5,,13 Feet,East,2.5,1 Car  & 3 Bikes,Semi-Furnished
Rs. 2.5 Cr,"Harisiddhi, Lalitpur",,5,5,,10 Feet,South,3,1 Car,
Rs. 3.9 Cr,"Imadol, Lalitpur",,6,4,2697 Sq. Ft.,12 Feet,South,3.5,3 Cars  & 5 Bikes,Full-Furnished
Rs. 2.75 Cr,"Ochu Height, Lalitpur",,5,5,2180 Sq. Ft.,13 Feet,North-East,3,1 Car  & 3 Bikes,Full-Furnished
Rs. 4 Cr,"Ochu Height, Lalitpur",,6,5,2898 Sq. Ft.,16 Feet,North-East,3.5,3 Cars  & 4 Bikes,
Rs. 4.5 Cr,"Setipakha, Lalitpur",,14,4,1140 Sq. Ft.,21 Feet,South-East,3.5,1 Car  & 2 Bikes,Full-Furnished
Rs. 1.35 Lac/m,"Hattiban, Lalitpur",,5,4,2500 Sq. Ft.,18 Feet,South,2.5,2 Cars  & 2 Bikes,Semi-Furnished
Rs. 2.25 Cr,"Tikathali, Lalitpur",,4,4,2397 Sq. Ft.,13 Feet,North,2.5,1 Car  & 2 Bikes,Semi-Furnished
Rs. 5.5 Cr,"Bhaisepati, Lalitpur",,6,5,2798 Sq. Ft.,13 Feet,East,3,1 Car  & 4 Bikes,Semi-Furnished
Rs. 2.75 Cr,"Airport, Kathmandu",,5,3,2299 Sq. Ft.,20 Feet,South,3,1 Car  & 3 Bikes,Semi-Furnished
Rs. 4.2 Cr,"Imadol, Lalitpur",,6,4,2699 Sq. Ft.,16 Feet,West,3.5,2 Cars  & 4 Bikes,Semi-Furnished
"Rs. 90,000 /m","Chobhar, Kathmandu",,4,4,,16 Feet,South,2.5,1 Car  & 3 Bikes,Semi-Furnished
"Rs. 80,000 /m","Khumaltar, Lalitpur",,5,2,,13 Feet,South,2.5,,Semi-Furnished
Rs. 8 Cr,"Hattigauda, Kathmandu",,6,6,3200 Sq. Ft.,13 Feet,South,2.5,4 Cars  & 4 Bikes,Full-Furnished
Rs. 4.5 Cr,"Bhangal , Kathmandu",,6,5,1775.42 Sq. Ft.,16 Feet,North-West,2.5,2 Cars  & 4 Bikes,Semi-Furnished
Rs. 5.9 Cr,"Hattigauda, Kathmandu",,5,5,2139 Sq. Ft.,18 Feet,West,2.5,1 Car  & 3 Bikes,Semi-Furnished
Rs. 5.8 Cr,"Sanepa, Lalitpur",,6,4,1709.25 Sq. Ft.,16 Feet,North-East,2.5,1 Car  & 5 Bikes,
Rs. 4.25 Cr,"Suryadarshan Height, Kathmandu",,4,5,1689 Sq. Ft.,15 Feet,North-East,2.5,1 Car  & 2 Bikes,Semi-Furnished
Rs. 2.65 Cr,"Chunikhel, Kathmandu",,4,4,1026.75 Sq. Ft.,12 Feet,North-West,2.5,1 Car  & 2 Bikes,Semi-Furnished
Rs. 3.5 Cr,"Imadol, Lalitpur",,6,5,2700 Sq. Ft.,13 Feet,North-East,3.5,1 Car  & 5 Bikes,Full-Furnished
Rs. 2.7 Cr,"Kapan, Kathmandu",,4,3,1025.75 Sq. Ft.,13 Feet,North-East,2.5,1 Car  & 2 Bikes,Full-Furnished
Rs. 3.6 Cr,"Nakhipot, Lalitpur",,6,4,2800 Sq. Ft.,26 Feet,North-East,3.5,2 Cars  & 5 Bikes,Semi-Furnished
Rs. 1.45 Cr,"Sanagaun, Lalitpur",,2,1,2200 Sq. Ft.,13 Feet,East,1.5,1 Car  & 4 Bikes,Semi-Furnished
Rs. 2.85 Cr,"Bhandari Marg, Lalitpur",,6,5,2700 Sq. Ft.,20 Feet,North,3,2 Cars  & 3 Bikes,Semi-Furnished
Rs. 3.8 Cr,"Koteshwor, Kathmandu",,4,3,,13 Feet,East,2.5,1 Car  & 3 Bikes,Semi-Furnished
Rs. 3.75 Cr,"Tikathali, Lalitpur",,7,6,,12 Feet,West,3.5,1 Car  & 3 Bikes,Full-Furnished
Rs. 3.75 Cr,"Tikathali, Lalitpur",,6,4,3649 Sq. Ft.,20 Feet,West,3.5,1 Car  & 3 Bikes,Semi-Furnished
"Rs. 90,000 /m","Chobhar, Kathmandu",,3,3,2087 Sq. Ft.,16 Feet,South,2.5,1 Car  & 3 Bikes,Semi-Furnished
Rs. 3.8 Cr,"Icimod, Lalitpur",,6,4,2797 Sq. Ft.,13 Feet,South,2.5,1 Car  & 3 Bikes,Semi-Furnished
Rs. 3.75 Cr,"Imadol, Lalitpur",,6,5,2698 Sq. Ft.,12 Feet,East,3,2 Cars  & 5 Bikes,Semi-Furnished
Rs. 3.15 Cr,"Imadol, Lalitpur",,6,4,2300 Sq. Ft.,13 Feet,North,3.5,1 Car  & 2 Bikes,Semi-Furnished
Rs. 4.45 Cr,"Imadol, Lalitpur",,6,5,2300 Sq. Ft.,12 Feet,South-West,3.5,1 Car  & 2 Bikes,Full-Furnished
Rs. 2.3 Cr,"Kalanki, Kathmandu",,5,3,1800 Sq. Ft.,13 Feet,West,2.5,1 Car  & 2 Bikes,Semi-Furnished
Rs. 1.85 Cr,"Changathali, Lalitpur",,2,1,,15 Feet,East,1,1 Car  & 4 Bikes,Full-Furnished
Rs. 3 Lac/m,"Old Baneshwor, Kathmandu",,4,4,,28 Feet,South,2.5,7 Cars  & 9 Bikes,Un-Furnished
Rs. 4.5 Cr,"Bhaisepati, Lalitpur",,4,2,,13 Feet,East,2.5,2 Cars  & 3 Bikes,Full-Furnished
Rs. 4.25 Cr,"Bhaisepati, Lalitpur",,5,3,,13 Feet,East,2.5,1 Car  & 4 Bikes,Full-Furnished
Rs. 3.35 Cr,"Pasikot, Kathmandu",,6,5,,13 Feet,East,2.5,2 Cars  & 4 Bikes,Semi-Furnished
Rs. 5.15 Cr,"Bhaisepati, Lalitpur",,5,3,,25 Feet,West,2.5,2 Cars  & 4 Bikes,Full-Furnished
Rs. 4.5 Cr,"Bhaisepati, Lalitpur",,5,3,,20 Feet,East,2.5,1 Car  & 5 Bikes,Full-Furnished
Rs. 2.6 Cr,"Shital Height, Lalitpur",,5,2,,12 Feet,North,3,5 Bikes,Full-Furnished
Rs. 2.45 Cr,"Tikathali, Lalitpur",,6,2,,13 Feet,West,2.5,1 Car  & 2 Bikes,Full-Furnished
Rs. 1.65 Cr,"Balkot, Bhaktapur",,2,1,,10 Feet,South-East,1.5,1 Car,Semi-Furnished
Rs. 4.55 Cr,"Shital Height, Lalitpur",,6,2,,12 Feet,East,2.5,1 Car  & 1 Bike,Semi-Furnished
